"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R5AD Double Extra Large","r5ad.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","300 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.524 hourly","$0.33 hourly","$0.158200 hourly","$0.282300 hourly","$0.654 hourly","$0.46 hourly","$0.288200 hourly","$0.412300 hourly","$0.674 hourly","$0.39 hourly","$0.308200 hourly","$0.432300 hourly","$0.892 hourly","$0.698 hourly","$0.510500 hourly","$0.510500 hourly","$1.027 hourly","$0.833 hourly","$1.852 hourly","$1.658 hourly","$3.892 hourly","$3.698 hourly","$0.659 hourly","$0.465 hourly","$1.484 hourly","$1.29 hourly","$3.524 hourly","$3.33 hourly","0","unavailable"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","0 units","8 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.0 Mbps","13300.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.308 hourly","$0.194 hourly","$0.140700 hourly","$0.196300 hourly","$0.473 hourly","$0.356 hourly","$0.270700 hourly","$0.326300 hourly","$0.458 hourly","$0.254 hourly","$0.290700 hourly","$0.346300 hourly","$0.676 hourly","$0.562 hourly","$0.497500 hourly","$0.497500 hourly","$0.811 hourly","$0.697 hourly","$1.636 hourly","$1.522 hourly","$3.676 hourly","$3.562 hourly","$0.443 hourly","$0.329 hourly","$1.268 hourly","$1.154 hourly","$3.308 hourly","$3.194 hourly","0","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","Base performance:                   90%","4 vCPUs                                                         for a                   5h 24m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.1856 hourly","$0.115 hourly","$0.057800 hourly","$0.060300 hourly","$0.2806 hourly","$0.207 hourly","$0.117800 hourly","$0.120300 hourly","$0.2856 hourly","$0.148 hourly","$0.157800 hourly","$0.160300 hourly","$0.2266 hourly","$0.156 hourly","$0.096700 hourly","$0.096700 hourly","$0.298 hourly","$0.2274 hourly","unavailable","unavailable","$1.7266 hourly","$1.656 hourly","$0.2532 hourly","$0.1826 hourly","unavailable","unavailable","$1.6856 hourly","$1.615 hourly","unavailable","unavailable"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","1.88 GiB/vCPU","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","640 GB                 (2 * 320 GB SSD)","No","No","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$1.68 hourly","$1.168 hourly","$0.566700 hourly","$0.620800 hourly","$1.81 hourly","$1.298 hourly","$0.696700 hourly","$0.750800 hourly","$1.78 hourly","$1.204 hourly","$0.666700 hourly","$0.720800 hourly","$3.008 hourly","$2.631 hourly","$1.798000 hourly","$1.798000 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.17 hourly","$15.152 hourly","$14.657 hourly","$2.288 hourly","$1.67 hourly","$6 hourly","$5.382 hourly","$15.18 hourly","$14.562 hourly","unavailable","$0.270 hourly"
"M3 General Purpose Medium","m3.medium","3.75 GiB","3 units","1 vCPUs","3.75 GiB/vCPU","0","None","0 GiB","0","0","3 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","4 GB                 SSD","No","No","64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","12","2","No","No","No","No","HVM, PV","No","use1-az2, use1-az3, use1-az4, use1-az6","$0.067 hourly","$0.048 hourly","$0.006700 hourly","$0.006800 hourly","$0.127 hourly","$0.108 hourly","$0.066700 hourly","$0.066800 hourly","$0.167 hourly","$0.081 hourly","$0.106700 hourly","$0.106800 hourly","$0.13 hourly","$0.1 hourly","$0.069700 hourly","$0.069700 hourly","$0.184 hourly","$0.127 hourly","$0.353 hourly","$0.221 hourly","unavailable","unavailable","$0.135 hourly","$0.111 hourly","$0.547 hourly","$0.523 hourly","unavailable","unavailable","unavailable","unavailable"
"G4AD Extra Large","g4ad.xlarge","16.0 GiB","0 units","4 vCPUs","4.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","150 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3170.0 Mbps","396.25 Mbps","13333.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.37853 hourly","$0.23847 hourly","$0.254200 hourly","$0.265600 hourly","$0.47353 hourly","$0.33047 hourly","$0.314200 hourly","$0.325600 hourly","$0.50353 hourly","$0.28847 hourly","$0.379200 hourly","$0.390600 hourly","$0.56253 hourly","$0.42247 hourly","$0.297600 hourly","$0.297600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5DN Double Extra Large","r5dn.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","300 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.668 hourly","$0.421 hourly","$0.157900 hourly","$0.298100 hourly","$0.798 hourly","$0.551 hourly","$0.287900 hourly","$0.428100 hourly","unavailable","unavailable","$0.307900 hourly","$0.448100 hourly","$1.036 hourly","$0.789 hourly","$0.510500 hourly","$0.510500 hourly","$1.171 hourly","$0.924 hourly","$1.996 hourly","$1.749 hourly","$4.036 hourly","$3.789 hourly","$0.803 hourly","$0.556 hourly","$1.628 hourly","$1.381 hourly","$3.668 hourly","$3.421 hourly","0","unavailable"
"INF1 Double Extra Large","inf1.2xlarge","16.0 GiB","0 units","8 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","40","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.362 hourly","$0.228 hourly","$0.108600 hourly","$0.129300 hourly","$0.492 hourly","$0.358 hourly","$0.238600 hourly","$0.259300 hourly","$0.512 hourly","$0.288 hourly","$0.258600 hourly","$0.279300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.497 hourly","$0.363 hourly","$1.322 hourly","$1.188 hourly","$3.362 hourly","$3.228 hourly","0","unavailable"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","0 units","128 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","26666.666664 Mbps","3333.333333 Mbps","100000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$5.5296 hourly","$3.65783 hourly","$2.285200 hourly","$2.285200 hourly","$5.6596 hourly","$3.78783 hourly","$2.415200 hourly","$2.415200 hourly","$5.6796 hourly","$3.71783 hourly","$2.435200 hourly","$2.435200 hourly","$11.4176 hourly","$9.54583 hourly","$8.173200 hourly","$8.173200 hourly","$13.5808 hourly","$11.70903 hourly","$26.7776 hourly","$24.90583 hourly","$59.4176 hourly","$57.54583 hourly","$7.6928 hourly","$5.82103 hourly","$20.8896 hourly","$19.01783 hourly","$53.5296 hourly","$51.65783 hourly","0","unavailable"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","0 units","4 vCPUs","4.00 GiB/vCPU","1","NVIDIA A10G","24 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","250 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","15000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.006 hourly","$0.63378 hourly","$0.301800 hourly","$0.349400 hourly","$1.066 hourly","$0.69378 hourly","$0.361800 hourly","$0.409400 hourly","$1.131 hourly","$0.68378 hourly","$0.426800 hourly","$0.474400 hourly","$1.19 hourly","$0.81778 hourly","$0.485800 hourly","$0.485800 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.376 hourly","$0.867 hourly","$0.555600 hourly","$0.719700 hourly","$1.506 hourly","$0.997 hourly","$0.685600 hourly","$0.849700 hourly","$1.526 hourly","$0.927 hourly","$0.705600 hourly","$0.869700 hourly","$2.848 hourly","$2.339 hourly","$2.016100 hourly","$2.016100 hourly","$3.389 hourly","$2.88 hourly","$6.688 hourly","$6.179 hourly","$14.848 hourly","$14.339 hourly","$1.917 hourly","$1.408 hourly","$5.216 hourly","$4.707 hourly","$13.376 hourly","$12.867 hourly","0","unavailable"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","14 units","4 vCPUs","1.88 GiB/vCPU","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","80 GB                 (2 * 40 GB SSD)","No","No","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM, PV","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$0.21 hourly","$0.146 hourly","$0.061000 hourly","$0.072600 hourly","$0.305 hourly","$0.225 hourly","$0.121000 hourly","$0.132600 hourly","$0.31 hourly","$0.182 hourly","$0.161000 hourly","$0.172600 hourly","$0.376 hourly","$0.329 hourly","$0.224800 hourly","$0.224800 hourly","$0.542 hourly","$0.386 hourly","$1.066 hourly","$0.771 hourly","$1.894 hourly","$1.833 hourly","$0.278 hourly","$0.2 hourly","$0.69 hourly","$0.613 hourly","$1.71 hourly","$1.633 hourly","0","$0.053 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","0 units","8 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.452 hourly","$0.285 hourly","$0.160200 hourly","$0.236400 hourly","$0.582 hourly","$0.415 hourly","$0.290200 hourly","$0.366400 hourly","$0.602 hourly","$0.345 hourly","$0.310200 hourly","$0.386400 hourly","$0.82 hourly","$0.653 hourly","$0.510500 hourly","$0.510500 hourly","$0.955 hourly","$0.788 hourly","$1.78 hourly","$1.613 hourly","$3.82 hourly","$3.653 hourly","$0.587 hourly","$0.42 hourly","$1.412 hourly","$1.245 hourly","$3.452 hourly","$3.285 hourly","0","$0.113 hourly"
"T2 Small","t2.small","2.0 GiB","Base performance:                   20%","1 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","12","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.023 hourly","$0.0144 hourly","$0.006900 hourly","$0.008200 hourly","$0.083 hourly","$0.0744 hourly","$0.066900 hourly","$0.068200 hourly","$0.053 hourly","$0.028 hourly","$0.036900 hourly","$0.038200 hourly","$0.032 hourly","$0.0236 hourly","$0.015900 hourly","$0.015900 hourly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","$0.0908 hourly","$0.082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6GN Extra Large","c6gn.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.1728 hourly","$0.10906 hourly","$0.068000 hourly","$0.068000 hourly","$0.2678 hourly","$0.20106 hourly","$0.128000 hourly","$0.128000 hourly","$0.2978 hourly","$0.15906 hourly","$0.193000 hourly","$0.193000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","0 units","48 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","18.75 Gigabit","10000.0 Mbps","1250.0 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.836 hourly","$1.21451 hourly","$0.816200 hourly","$0.828400 hourly","$1.966 hourly","$1.34451 hourly","$0.946200 hourly","$0.958400 hourly","$1.986 hourly","$1.27451 hourly","$0.966200 hourly","$0.978400 hourly","$4.044 hourly","$3.42251 hourly","$3.024200 hourly","$3.024200 hourly","$4.8552 hourly","$4.23371 hourly","$9.804 hourly","$9.18251 hourly","$22.044 hourly","$21.42251 hourly","$2.6472 hourly","$2.02571 hourly","$7.596 hourly","$6.97451 hourly","$19.836 hourly","$19.21451 hourly","0","unavailable"
"X2GD Extra Large","x2gd.xlarge","64.0 GiB","0 units","4 vCPUs","16.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","237 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.334 hourly","$0.2058 hourly","$0.100200 hourly","$0.100200 hourly","$0.394 hourly","$0.2658 hourly","$0.160200 hourly","$0.160200 hourly","$0.459 hourly","$0.2558 hourly","$0.225200 hourly","$0.225200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M6G Medium","m6g.medium","4.0 GiB","0 units","1 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0385 hourly","$0.0241 hourly","$0.017900 hourly","$0.017900 hourly","$0.1335 hourly","$0.1161 hourly","$0.077900 hourly","$0.077900 hourly","$0.0695 hourly","$0.0371 hourly","$0.048900 hourly","$0.048900 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","8 units","4 vCPUs","3.75 GiB/vCPU","0","None","0 GiB","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","1680 GB                 (4 * 420 GB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 Mbps","8000.0 IOPS","No","60","4","No","No","No","No","PV","Yes","use1-az1, use1-az2, use1-az4, use1-az6","$0.35 hourly","$0.224 hourly","$0.040700 hourly","$0.188300 hourly","$0.41 hourly","$0.284 hourly","$0.100700 hourly","$0.248300 hourly","$0.45 hourly","$0.26 hourly","$0.140700 hourly","$0.288300 hourly","$0.598 hourly","$0.465 hourly","$0.283000 hourly","$0.283000 hourly","$0.83 hourly","$0.543 hourly","$1.362 hourly","$0.906 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.088 hourly"
"R5B 12xlarge","r5b.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","30000.0 Mbps","3750.0 Mbps","130000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$3.576 hourly","$2.25288 hourly","$1.104200 hourly","$2.121300 hourly","$3.706 hourly","$2.38288 hourly","$1.234200 hourly","$2.251300 hourly","$3.726 hourly","$2.31288 hourly","$1.254200 hourly","$2.271300 hourly","$5.784 hourly","$4.46088 hourly","$3.063000 hourly","$3.063000 hourly","$6.5952 hourly","$5.27208 hourly","$11.544 hourly","$10.22088 hourly","$23.784 hourly","$22.46088 hourly","$4.3872 hourly","$3.06408 hourly","$9.336 hourly","$8.01288 hourly","$21.576 hourly","$20.25288 hourly","0","unavailable"
"M5N Extra Large","m5n.xlarge","16.0 GiB","0 units","4 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","18750.0 IOPS","Yes","60","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.238 hourly","$0.15 hourly","$0.069100 hourly","$0.131600 hourly","$0.298 hourly","$0.21 hourly","$0.129100 hourly","$0.191600 hourly","unavailable","unavailable","$0.194100 hourly","$0.256600 hourly","$0.422 hourly","$0.334 hourly","$0.252000 hourly","$0.252000 hourly","$0.49 hourly","$0.402 hourly","$0.902 hourly","$0.814 hourly","$1.922 hourly","$1.834 hourly","$0.306 hourly","$0.218 hourly","$0.718 hourly","$0.63 hourly","$1.738 hourly","$1.65 hourly","0","unavailable"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","0 units","48 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","4750.0 Mbps","594.0 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.848 hourly","$1.164 hourly","$0.853800 hourly","$1.011500 hourly","$1.978 hourly","$1.294 hourly","$0.983800 hourly","$1.141500 hourly","$1.998 hourly","$1.224 hourly","$1.003800 hourly","$1.161500 hourly","$4.056 hourly","$3.372 hourly","$2.985300 hourly","$2.985300 hourly","$4.867 hourly","$4.183 hourly","$9.816 hourly","$9.132 hourly","$22.056 hourly","$21.372 hourly","$2.659 hourly","$1.975 hourly","$7.608 hourly","$6.924 hourly","$19.848 hourly","$19.164 hourly","0","unavailable"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.464 hourly","$1.5456 hourly","$1.142600 hourly","$1.191000 hourly","$2.594 hourly","$1.6756 hourly","$1.272600 hourly","$1.321000 hourly","$2.614 hourly","$1.6056 hourly","$1.292600 hourly","$1.341000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","13 units","4 vCPUs","3.75 GiB/vCPU","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","80 GB                 (2 * 40 GB SSD)","No","No","64-bit","High","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","60","4","No","No","No","No","HVM, PV","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$0.266 hourly","$0.19 hourly","$0.061700 hourly","$0.062600 hourly","$0.326 hourly","$0.25 hourly","$0.121700 hourly","$0.122600 hourly","$0.366 hourly","$0.223 hourly","$0.161700 hourly","$0.162600 hourly","$0.518 hourly","$0.397 hourly","$0.313700 hourly","$0.313700 hourly","$0.734 hourly","$0.479 hourly","$1.266 hourly","$0.882 hourly","$1.95 hourly","$1.878 hourly","$0.336 hourly","$0.24 hourly","$0.748 hourly","$0.653 hourly","$1.768 hourly","$1.673 hourly","0","$0.070 hourly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","2 units","1 vCPUs","3.75 GiB/vCPU","0","None","0 GiB","0","0","2 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","410 GB                 HDD","No","N/A","32/64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","12","2","No","No","No","No","PV","Yes","use1-az1, use1-az2, use1-az4, use1-az6","$0.087 hourly","$0.056 hourly","$0.008700 hourly","$0.008700 hourly","$0.147 hourly","$0.116 hourly","$0.068700 hourly","$0.068700 hourly","$0.187 hourly","$0.092 hourly","$0.108700 hourly","$0.108700 hourly","$0.149 hourly","$0.115 hourly","$0.070700 hourly","$0.070700 hourly","$0.237 hourly","$0.155 hourly","$0.744 hourly","$0.543 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.022 hourly"
"T3A Medium","t3a.medium","4.0 GiB","Base performance:                   40%","2 vCPUs                                                         for a                   4h 48m                   burst","2.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2085.0 Mbps","260.57 Mbps","11800.0 IOPS","Yes","18","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0376 hourly","$0.0236 hourly","$0.012900 hourly","$0.014900 hourly","$0.1326 hourly","$0.1156 hourly","$0.072900 hourly","$0.074900 hourly","$0.1006 hourly","$0.0486 hourly","$0.075900 hourly","$0.077900 hourly","$0.056 hourly","$0.042 hourly","$0.029700 hourly","$0.029700 hourly","$0.1236 hourly","$0.1096 hourly","unavailable","unavailable","unavailable","unavailable","$0.1052 hourly","$0.0912 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5N Metal","r5n.metal","768.0 GiB","0 units","96 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$7.152 hourly","$4.506 hourly","$2.343300 hourly","$7.152000 hourly","$7.282 hourly","$4.636 hourly","$2.473300 hourly","$7.282000 hourly","$7.302 hourly","$4.566 hourly","$2.493300 hourly","$7.302000 hourly","$11.568 hourly","$8.922 hourly","$6.696700 hourly","$11.568000 hourly","$13.19 hourly","$10.544 hourly","$23.088 hourly","$20.442 hourly","$47.568 hourly","$44.922 hourly","$8.774 hourly","$6.128 hourly","$18.672 hourly","$16.026 hourly","$43.152 hourly","$40.506 hourly","0","unavailable"
